"mean","SD","P+","2.5%","5%","50%","95%","97.5%"
"L ACC",0.0299,0.0592,0.6906,-0.0848,-0.0662,0.0295,0.1285,0.1494
"L ant. Caudate",0.0093,0.0586,0.5624,-0.1056,-0.087,0.0092,0.1059,0.1251
"L ant. dorsal Insula",-0.0063,0.06,0.4585,-0.1237,-0.1051,-0.0062,0.092,0.1103
"L ant. Hippocampus",0.062,0.0782,0.7837,-0.0792,-0.0593,0.0576,0.1983,0.228
"L ant. MCC",0.0578,0.068,0.8022,-0.0717,-0.0515,0.0563,0.1725,0.1966
"L ant. Putamen",-0.0082,0.062,0.4546,-0.133,-0.1117,-0.0072,0.092,0.1119
"L ant. Thalamus",0.0472,0.0635,0.7712,-0.0724,-0.0535,0.0455,0.1554,0.1772
"L ant. ventral Insula",0.0012,0.0584,0.5092,-0.1141,-0.0952,0.0013,0.0974,0.1159
"L BLBM Amygdala",0.0641,0.0735,0.8099,-0.0688,-0.0489,0.0599,0.1913,0.2191
"L BST",-0.0318,0.0974,0.3789,-0.2314,-0.1972,-0.0284,0.1233,0.1537
"L CeMe Amygdala",0.0241,0.0766,0.6196,-0.1237,-0.0994,0.0227,0.1525,0.1796
"L Crus II",0.0226,0.0617,0.64,-0.096,-0.0777,0.0216,0.1253,0.1468
"L dlPFC",0.0733,0.07,0.8536,-0.0574,-0.0375,0.0706,0.1934,0.2172
"L Hippocampus body",0.0124,0.0592,0.5821,-0.1034,-0.0844,0.0119,0.1105,0.1293
"L Hippocampus tail",-0.0122,0.059,0.416,-0.1302,-0.1097,-0.0119,0.084,0.1038
"L Hypothalamus",-0.0015,0.0748,0.4942,-0.1516,-0.1251,-0.0011,0.1204,0.1458
"L lat. OFC",-0.0081,0.0608,0.4494,-0.1297,-0.1094,-0.0075,0.0906,0.1102
"L Lobule IX",0.0224,0.0602,0.6436,-0.0934,-0.0749,0.0215,0.1226,0.1445
"L med. OFC",-0.0397,0.0638,0.2664,-0.1677,-0.1456,-0.0385,0.064,0.0828
"L mid/post Insula",0.0012,0.0589,0.5073,-0.1144,-0.0955,0.001,0.0986,0.1167
"L PAG",0.0066,0.0736,0.5346,-0.1387,-0.1144,0.0061,0.1282,0.1516
"L PCC",-0.0393,0.0701,0.2912,-0.1832,-0.1577,-0.0372,0.072,0.093
"L PCC/precuneus",0.1375,0.1089,0.9068,-0.0543,-0.0274,0.1302,0.3291,0.3684
"L post. Caudate",0.0197,0.0585,0.629,-0.0929,-0.075,0.0191,0.1171,0.1368
"L post. Putamen",-0.0211,0.0635,0.3723,-0.149,-0.1271,-0.0202,0.0811,0.1018
"L post. Thalamus",-0.018,0.059,0.3821,-0.1353,-0.1159,-0.0171,0.0781,0.0965
"L pre-SMA",-0.0596,0.0751,0.2148,-0.2204,-0.1905,-0.0552,0.0548,0.0753
"L Ventral striatum",0.0247,0.0591,0.6616,-0.0884,-0.0714,0.0239,0.1242,0.1442
"M PCC",0.0181,0.0733,0.5938,-0.1238,-0.1006,0.0167,0.1407,0.1675
"M vmPFC1",-0.0373,0.0656,0.2864,-0.1722,-0.1476,-0.0358,0.0675,0.0866
"M vmPFC2",-0.0278,0.0621,0.3314,-0.1537,-0.1327,-0.0262,0.0715,0.0903
"R ACC",0.054,0.0645,0.797,-0.0652,-0.0486,0.0523,0.1633,0.1873
"R ant. Caudate",0.0538,0.0632,0.8022,-0.0656,-0.0475,0.0523,0.1606,0.1822
"R ant. dorsal Insula",0.0068,0.06,0.5405,-0.1095,-0.0905,0.0063,0.1065,0.1266
"R ant. Hippocampus",-0.0212,0.0659,0.376,-0.1525,-0.1308,-0.0207,0.0874,0.1069
"R ant. MCC",0.0662,0.0705,0.8273,-0.0649,-0.0447,0.0635,0.1859,0.212
"R ant. Putamen",0.0128,0.0598,0.5836,-0.1048,-0.0851,0.0123,0.1116,0.1315
"R ant. Thalamus",0.0323,0.0612,0.6994,-0.0857,-0.0664,0.0308,0.1351,0.1559
"R ant. ventral Insula",0.0168,0.0607,0.6048,-0.1007,-0.0814,0.016,0.1176,0.1383
"R BLBM Amygdala",0.008,0.0642,0.5492,-0.1175,-0.0965,0.0075,0.1148,0.1371
"R BST",0.053,0.0973,0.7048,-0.1342,-0.1037,0.0503,0.2164,0.2507
"R CeMe Amygdala",0.0339,0.0677,0.689,-0.0949,-0.0741,0.0323,0.1474,0.1722
"R dlPFC",-0.0435,0.0688,0.2658,-0.1828,-0.1598,-0.0417,0.0667,0.0864
"R Hippocampus body",0.0026,0.058,0.5184,-0.111,-0.0915,0.0026,0.0983,0.1173
"R Hippocampus tail",-0.0235,0.0608,0.351,-0.1462,-0.1253,-0.0225,0.0745,0.0938
"R Hypothalamus",-0.0532,0.0934,0.2872,-0.2498,-0.215,-0.0489,0.0924,0.1193
"R lat. OFC",0.0895,0.0847,0.8642,-0.059,-0.0373,0.0822,0.2409,0.274
"R Lobule IX",-0.0053,0.0602,0.4647,-0.1234,-0.1034,-0.0053,0.0926,0.1121
"R med. OFC",0.0062,0.0605,0.537,-0.1114,-0.0928,0.0057,0.106,0.1262
"R mid/post Insula",0.003,0.0586,0.5171,-0.1113,-0.0925,0.0025,0.0993,0.1192
"R PAG",-0.1149,0.0879,0.0935,-0.2918,-0.2632,-0.113,0.0256,0.0509
"R PCC",-0.0584,0.0766,0.2242,-0.2147,-0.1879,-0.0566,0.0634,0.0865
"R PCC/precuneus",0.0242,0.0822,0.6121,-0.1325,-0.1082,0.0222,0.1624,0.1922
"R post. Caudate",0.037,0.0614,0.7223,-0.0801,-0.0609,0.0353,0.1406,0.1616
"R post. Putamen",1e-04,0.0587,0.5002,-0.1159,-0.0968,0,0.0967,0.116
"R post. Thalamus",-0.0187,0.059,0.3771,-0.138,-0.1179,-0.0179,0.0765,0.0952
"R pre-SMA",-0.0431,0.0677,0.2642,-0.1827,-0.1589,-0.0405,0.0644,0.0838
"R Ventral striatum",0.0181,0.0606,0.6158,-0.0998,-0.0805,0.0175,0.1184,0.1394
