"mean","SD","P+","2.5%","5%","50%","95%","97.5%"
"L ACC",-0.0218,0.0622,0.3662,-0.146,-0.1247,-0.0212,0.0788,0.0978
"L ant. Caudate",0.0012,0.0624,0.5118,-0.1225,-0.1027,0.0018,0.1032,0.1229
"L ant. dorsal Insula",0.0416,0.0636,0.7435,-0.082,-0.0618,0.0405,0.1482,0.1675
"L ant. Hippocampus",0.056,0.074,0.7776,-0.0891,-0.0653,0.0562,0.1774,0.201
"L ant. MCC",-0.0021,0.0696,0.4914,-0.1408,-0.1173,-0.0015,0.111,0.1324
"L ant. Putamen",-0.0234,0.0662,0.3684,-0.1573,-0.1346,-0.0219,0.0826,0.1023
"L ant. Thalamus",-0.0228,0.0656,0.3712,-0.1556,-0.1328,-0.0216,0.0824,0.1011
"L ant. ventral Insula",0.0511,0.0635,0.7934,-0.0722,-0.0518,0.05,0.1573,0.1783
"L BLBM Amygdala",-0.0141,0.0742,0.4366,-0.1671,-0.141,-0.0112,0.1018,0.1236
"L BST",0.215,0.1177,0.9755,8e-04,0.0341,0.2086,0.4191,0.4668
"L CeMe Amygdala",0.1306,0.0821,0.9496,-0.0255,-4e-04,0.1283,0.2692,0.2991
"L Crus II",0.01,0.065,0.5629,-0.119,-0.0974,0.0103,0.1174,0.1385
"L dlPFC",-0.0978,0.0792,0.1068,-0.261,-0.2334,-0.0949,0.0278,0.0499
"L Hippocampus body",0.0241,0.0617,0.6537,-0.0968,-0.0775,0.0239,0.126,0.1458
"L Hippocampus tail",0.0384,0.0626,0.7319,-0.0835,-0.0637,0.0381,0.1421,0.1624
"L Hypothalamus",0.0863,0.0828,0.8565,-0.0744,-0.0483,0.0856,0.2243,0.2519
"L lat. OFC",0.0276,0.064,0.6705,-0.099,-0.0782,0.0274,0.1328,0.1535
"L Lobule IX",0.0045,0.0625,0.5312,-0.1199,-0.0989,0.005,0.1062,0.1269
"L med. OFC",0.0595,0.0666,0.8162,-0.0683,-0.0484,0.0584,0.1704,0.1928
